416;0;0;0;15;31;46;62;62;1:53:06 PM
420;0;0;0;15;31;46;62;62;1:53:06 PM
424;0;0;0;15;31;46;46;46;1:53:07 PM
428;0;0;0;0;15;31;31;31;1:53:07 PM
432;0;0;0;0;15;15;15;15;1:53:07 PM
436;0;0;0;15;15;15;15;15;1:53:07 PM
440;0;0;0;15;15;15;15;15;1:53:07 PM
444;0;0;0;0;15;15;15;15;1:53:07 PM
448;0;0;0;0;0;15;15;15;1:53:07 PM
452;0;0;0;0;0;0;0;0;1:53:07 PM
456;0;0;0;0;0;0;0;0;1:53:07 PM
460;0;0;0;0;0;15;15;15;1:53:07 PM
464;0;0;0;15;15;15;31;31;1:53:07 PM
468;0;0;0;15;15;31;31;31;1:53:07 PM
472;0;0;0;0;15;31;31;31;1:53:07 PM
476;0;0;0;15;31;46;46;46;1:53:07 PM
480;0;0;0;0;15;31;46;46;1:53:07 PM
484;0;0;0;15;15;31;46;46;1:53:07 PM
488;0;0;0;15;31;31;46;46;1:53:07 PM
492;0;0;0;15;31;46;62;62;1:53:07 PM
496;0;0;0;15;15;31;46;46;1:53:07 PM
500;0;0;0;15;31;31;46;46;1:53:07 PM
504;0;0;0;15;31;46;46;46;1:53:07 PM
508;0;0;0;0;15;31;46;46;1:53:07 PM
512;0;0;0;15;31;46;62;62;1:53:07 PM
516;0;0;0;15;31;31;46;46;1:53:08 PM
520;0;0;0;15;31;46;62;62;1:53:08 PM
524;0;0;0;15;31;46;62;62;1:53:08 PM
528;0;0;0;15;31;46;62;62;1:53:08 PM
532;0;0;0;15;31;46;62;62;1:53:08 PM
536;0;0;0;15;31;46;62;62;1:53:08 PM
540;0;0;0;15;31;46;62;62;1:53:08 PM
544;0;0;0;15;31;31;46;46;1:53:08 PM
548;0;0;0;15;31;46;62;62;1:53:08 PM
552;0;0;0;15;31;46;62;62;1:53:08 PM
556;0;0;0;15;31;46;62;62;1:53:08 PM
560;0;0;0;15;31;46;62;62;1:53:08 PM
564;0;0;0;15;31;46;62;62;1:53:08 PM
568;0;0;0;15;31;46;46;46;1:53:08 PM
572;0;0;0;15;31;31;46;46;1:53:08 PM
576;0;0;0;0;15;31;46;46;1:53:08 PM
580;0;0;0;15;31;46;62;62;1:53:09 PM
584;0;0;0;15;15;31;78;78;1:53:09 PM
588;0;0;0;31;171;171;218;218;1:53:09 PM
592;0;0;0;62;78;140;156;156;1:53:09 PM
596;15;15;15;15;31;46;62;62;1:53:09 PM
600;0;0;0;15;31;46;62;62;1:53:09 PM
604;0;0;0;15;31;46;62;62;1:53:09 PM
608;0;0;0;15;31;78;109;109;1:53:09 PM
612;0;0;0;62;109;140;156;156;1:53:10 PM
616;0;0;0;109;124;171;187;187;1:53:10 PM
620;0;0;0;15;62;78;124;124;1:53:10 PM
624;0;0;0;62;109;124;156;156;1:53:10 PM
628;0;0;0;15;31;46;93;93;1:53:10 PM
632;0;0;0;15;62;109;140;140;1:53:10 PM
636;0;0;0;15;31;62;78;78;1:53:10 PM
640;0;0;0;46;78;109;124;124;1:53:10 PM
644;0;0;0;15;93;124;140;140;1:53:11 PM
648;0;0;0;15;31;46;62;62;1:53:11 PM
652;0;0;0;15;31;46;62;62;1:53:11 PM
656;0;0;0;15;31;46;62;62;1:53:11 PM
660;0;0;0;15;31;46;62;62;1:53:11 PM
664;0;0;0;15;31;46;62;62;1:53:11 PM
668;0;0;0;15;31;62;93;93;1:53:11 PM
672;0;0;0;46;62;78;124;124;1:53:11 PM
676;0;0;0;15;31;78;171;171;1:53:11 PM
680;0;0;0;15;78;93;109;109;1:53:11 PM
684;0;0;0;78;124;171;218;218;1:53:12 PM
688;0;0;0;15;78;156;203;203;1:53:12 PM
692;0;0;0;15;93;109;171;171;1:53:12 PM
696;0;0;0;62;78;93;124;124;1:53:12 PM
700;0;0;0;15;62;78;156;156;1:53:12 PM
704;0;0;0;15;15;31;78;78;1:53:12 PM
708;0;0;0;15;31;46;62;62;1:53:13 PM
712;0;0;0;46;62;78;93;93;1:53:13 PM
716;0;0;0;15;31;46;46;62;1:53:13 PM
720;0;0;0;15;31;46;46;46;1:53:13 PM
724;0;0;0;15;15;31;46;46;1:53:13 PM
728;0;0;0;0;15;31;46;46;1:53:13 PM
732;0;0;0;15;31;46;62;62;1:53:13 PM
736;0;15;15;31;31;46;62;62;1:53:13 PM
740;0;0;0;15;31;46;62;62;1:53:13 PM
744;0;0;0;15;31;46;62;62;1:53:13 PM
748;0;0;0;15;31;31;46;46;1:53:13 PM
752;0;0;0;15;31;46;62;62;1:53:13 PM
756;0;0;0;15;31;46;62;62;1:53:13 PM
760;0;0;0;15;31;46;62;62;1:53:13 PM
764;0;0;0;15;31;46;62;62;1:53:13 PM
768;0;0;0;15;31;46;62;62;1:53:14 PM
772;0;0;0;31;62;78;93;93;1:53:14 PM
776;0;0;0;15;31;46;62;62;1:53:14 PM
780;0;0;0;15;31;46;62;62;1:53:14 PM
784;0;0;0;15;31;31;46;46;1:53:14 PM
788;0;0;0;0;15;31;46;46;1:53:14 PM
792;0;0;0;15;31;46;62;62;1:53:14 PM
796;0;0;0;15;31;46;62;62;1:53:14 PM
800;0;0;0;15;31;46;62;62;1:53:14 PM
804;0;0;0;15;31;46;62;62;1:53:14 PM
808;0;0;0;15;31;46;62;62;1:53:14 PM
812;0;0;0;15;31;46;62;62;1:53:14 PM
816;0;0;0;15;31;31;46;46;1:53:14 PM
820;0;0;0;15;15;31;46;46;1:53:14 PM
824;0;0;0;15;31;46;62;62;1:53:15 PM
828;0;0;0;15;31;46;62;62;1:53:15 PM
832;0;0;0;15;31;46;62;62;1:53:15 PM
836;0;15;15;31;31;46;62;62;1:53:15 PM
840;0;0;0;15;15;31;46;46;1:53:15 PM
844;0;0;0;15;31;46;62;62;1:53:15 PM
848;0;0;0;15;31;46;62;62;1:53:15 PM
852;0;0;0;15;31;46;62;62;1:53:15 PM
856;0;0;0;15;31;46;46;46;1:53:15 PM
860;0;0;0;15;15;31;46;46;1:53:15 PM
864;0;0;0;15;15;31;46;46;1:53:15 PM
868;0;0;0;15;31;31;46;46;1:53:15 PM
872;0;0;0;15;31;46;62;62;1:53:15 PM
876;0;0;0;15;31;46;62;62;1:53:15 PM
880;0;0;0;15;62;93;109;109;1:53:15 PM
884;0;0;0;31;62;78;78;78;1:53:16 PM
888;0;0;0;15;31;62;124;124;1:53:16 PM
892;0;0;0;31;46;62;78;78;1:53:16 PM
896;0;0;0;15;31;46;62;62;1:53:16 PM
900;0;0;0;15;31;46;62;62;1:53:16 PM
904;0;0;0;15;31;31;46;46;1:53:16 PM
908;0;0;0;15;15;31;46;46;1:53:16 PM
912;0;0;0;15;31;46;62;62;1:53:16 PM
916;0;0;0;15;31;46;62;62;1:53:16 PM
920;0;0;0;15;31;46;62;62;1:53:16 PM
924;0;0;0;15;31;46;62;62;1:53:16 PM
928;0;0;0;15;31;46;62;62;1:53:16 PM
932;0;0;0;15;31;46;62;62;1:53:16 PM
936;0;15;15;31;46;62;78;78;1:53:17 PM
940;0;0;0;15;31;46;62;62;1:53:17 PM
944;0;0;0;15;31;46;62;62;1:53:17 PM
