Time[ms],text
619475,TOPÁNKA
620974,,,MARK=E0h
621974,MOĽA
623474,,,MARK=E0h
624674,HUSI
626174,,,MARK=E0h
627378,6+4+7 = 
630474,6+4+7 = 1
630745,6+4+7 = 17
631027,2+4+1 = 
631046,9+8+4 = 
634869,9+8+4 = 2
635058,9+8+4 = 21
635441,4+9+9 = 
635458,7+6+2 = 
638993,7+6+2 = 1
639167,7+6+2 = 15
639739,2+7+5 = 
639755,6+4+7 = 
642250,6+4+7 = 1
642439,6+4+7 = 17
642953,9+3+6 = 
642973,7+6+1 = 
647430,+
647432,+
677426,Press SPACE to start,7  of 15 trials completed
683992,5
684992,4
685992,3
686992,2
687991,1
688991,+
689991,+
690991,,,MARK=E1h
692256,ŠATY
693718,,,MARK=E0h
694674,LOPTA
696173,,,MARK=E0h
697141,OBRUS
698641,,,MARK=E0h
699841,SLIMÁK
701341,,,MARK=E0h
702309,ISKRA
703808,,,MARK=E0h
705008,REBRO
706508,,,MARK=E0h
707708,PES
709208,,,MARK=E0h
710408,DUB
711908,,,MARK=E0h
712878,LAMPA
714378,,,MARK=E0h
715378,KER
716879,,,MARK=E0h
717878,KAMEŇ
719378,,,MARK=E0h
720333,NOS
721833,,,MARK=E0h
723021,3+9+9 = 
726697,3+9+9 = 2
726866,3+9+9 = 21
727175,1+6+6 = 
727194,8+1+2 = 
730015,8+1+2 = 1
730183,8+1+2 = 11
730442,7+7+8 = 
730458,2+4+1 = 
732762,2+4+1 = 7
733028,6+1+8 = 
733048,3+5+2 = 
735999,3+5+2 = 1
736200,3+5+2 = 10
736639,5+4+2 = 
736659,7+4+8 = 
743082,+
743084,+
773081,Press SPACE to start,8  of 15 trials completed
776630,5
777629,4
778629,3
779629,2
780629,1
781628,+
782628,+
783628,,,MARK=E1h
784913,VÁZA
786375,,,MARK=E0h
787575,RYŽA
789075,,,MARK=E0h
790275,SVET
791775,,,MARK=E0h
792735,TORTA
794235,,,MARK=E0h
795235,SOVA
796735,,,MARK=E0h
797835,ZLATO
799335,,,MARK=E0h
800435,PARA
801935,,,MARK=E0h
802893,NOHA
804392,,,MARK=E0h
805492,STĹP
806992,,,MARK=E0h
807961,BAŇA
809460,,,MARK=E0h
810416,ČERV
811915,,,MARK=E0h
812883,TVÁR
814383,,,MARK=E0h
815568,2+9+2 = 
819456,2+9+2 = 1
819627,2+9+2 = 13
820181,6+6+5 = 
820203,8+7+2 = 
825097,8+7+2 = 1
825326,8+7+2 = 17
825874,6+3+7 = 
825892,8+4+4 = 
828256,8+4+4 = 1
828432,8+4+4 = 16
828948,6+4+2 = 
828963,1+1+4 = 
831194,1+1+4 = 6
831740,8+1+3 = 
831756,3+8+4 = 
835165,3+8+4 = 1
835344,3+8+4 = 15
835613,+
835616,+
865609,Press SPACE to start,9  of 15 trials completed
869097,5
870096,4
871096,3
872096,2
873096,1
874096,+
875095,+
876095,,,MARK=E1h
877344,RUKÁV
878797,,,MARK=E0h
879896,ELF
881396,,,MARK=E0h
882367,VTÁK
883866,,,MARK=E0h
884866,KAČKA
886366,,,MARK=E0h
887466,SRSŤ
888966,,,MARK=E0h
890066,IZBA
891566,,,MARK=E0h
892565,ČLN
894066,,,MARK=E0h
895266,NEBO
896766,,,MARK=E0h
897734,VÍNO
899234,,,MARK=E0h
900189,TEĽA
901688,,,MARK=E0h
902688,KALUŽ
904188,,,MARK=E0h
905149,KNIHA
906648,,,MARK=E0h
907938,3+5+2 = 
911239,3+5+2 = 1
911503,3+5+2 = 10
911939,9+2+2 = 
911959,3+8+4 = 
916064,3+8+4 = 1
916213,3+8+4 = 15
916574,2+2+9 = 
916590,5+9+2 = 
920014,5+9+2 = 1
920548,5+9+2 = 16
920912,6+8+4 = 
920933,9+5+6 = 
925623,9+5+6 = 2
925795,9+5+6 = 20
926358,1+2+8 = 
926382,7+5+2 = 
927985,+
927990,+
957981,Press SPACE to start,10  of 15 trials completed
961453,5
962453,4
963453,3
964453,2
965452,1
966452,+
967452,+
968452,,,MARK=E1h
969718,DVERE
971183,,,MARK=E0h
972138,DREZ
973638,,,MARK=E0h
974609,NIŤ
976108,,,MARK=E0h
977063,SUDCA
978562,,,MARK=E0h
979762,OPICA
981262,,,MARK=E0h
982262,LYŽA
983762,,,MARK=E0h
984962,PARK
986462,,,MARK=E0h
987428,JELEŇ
988928,,,MARK=E0h
990128,KOZA
991628,,,MARK=E0h
992627,HRNČEK
994128,,,MARK=E0h
995085,KRYSA
996584,,,MARK=E0h
997537,HÁK
999037,,,MARK=E0h
1000238,5+2+7 = 
1006564,5+2+7 = 1
1007823,5+2+7 = 14
1008072,1+1+4 = 
1008090,5+7+6 = 
1014774,5+7+6 = 1
1014938,5+7+6 = 18
1015432,2+6+9 = 
1015449,9+9+4 = 
1018104,9+9+4 = 2
1018258,9+9+4 = 22
1018817,2+3+5 = 
1018833,5+9+7 = 
1020286,+
1020289,+
1050282,Press SPACE to start,11  of 15 trials completed
1053454,5
1054454,4
1055453,3
1056453,2
1057453,1
1058453,+
1059452,+
1060452,,,MARK=E1h
1061763,STÔL
1063228,,,MARK=E0h
1064327,SKALA
1065827,,,MARK=E0h
1066783,ŠŤAVA
1068282,,,MARK=E0h
1069239,KOPYTO
1070738,,,MARK=E0h
1071938,ŽABA
1073438,,,MARK=E0h
1074438,GALOŠA
1075938,,,MARK=E0h
1077038,HODINY
1078538,,,MARK=E0h
1079738,KOCKA
1081238,,,MARK=E0h
1082198,RUŽA
1083698,,,MARK=E0h
1084653,ŠNŮRA
1086152,,,MARK=E0h
1087352,SMETI
1088852,,,MARK=E0h
1089815,LYŽICA
1091314,,,MARK=E0h
1092199,2+8+7 = 
1097584,2+8+7 = 1
1097834,2+8+7 = 17
1098290,8+9+4 = 
1098315,9+1+1 = 
1100492,9+1+1 = 1
1100653,9+1+1 = 11
1101187,9+6+6 = 
1101206,3+3+8 = 
1105983,3+3+8 = 1
1106056,3+3+8 = 14
1106596,2+8+4 = 
1106616,5+5+6 = 
1108602,5+5+6 = 1
1108900,5+5+6 = 16
1109464,3+1+5 = 
1109483,2+4+9 = 
1112245,+
1112247,+
1142277,Press SPACE to start,12  of 15 trials completed
1144901,5
1145901,4
1146900,3
1147900,2
1148900,1
1149900,+
1150900,+
1151899,,,MARK=E1h
1152960,RÚRA
1154412,,,MARK=E0h
1155411,ÚSTA
1156911,,,MARK=E0h
1157910,VLAJKA
1159411,,,MARK=E0h
1160374,PAŽA
1161873,,,MARK=E0h
1162830,MUL
1164330,,,MARK=E0h
1165530,BLCHA
1167030,,,MARK=E0h
1168130,HRACH
1169630,,,MARK=E0h
1170596,HRABIE
1172095,,,MARK=E0h
1173062,ZOBÁK
1174561,,,MARK=E0h
1175561,OVOCIE
1177061,,,MARK=E0h
1178160,MLIEKO
1179661,,,MARK=E0h
1180861,MUŠĽA
1182361,,,MARK=E0h
1183353,3+7+7 = 
1187525,3+7+7 = 1
1187883,3+7+7 = 17
1188133,6+8+3 = 
1188158,7+9+9 = 
1191255,7+9+9 = 2
1191475,7+9+9 = 25
1191835,1+4+6 = 
1191850,9+8+1 = 
1196765,9+8+1 = 1
1196965,9+8+1 = 18
1197334,4+2+1 = 
1197352,3+6+5 = 
1201945,3+6+5 = 1
1202123,3+6+5 = 14
1203076,1+6+1 = 
1203097,2+7+7 = 
1203399,+
1203402,+
1233399,Press SPACE to start,13  of 15 trials completed
1236852,5
1237851,4
1238851,3
1239851,2
1240851,1
1241851,+
1242850,+
1243850,,,MARK=E1h
1245120,HLINA
1246582,,,MARK=E0h
1247681,BANKA
1249181,,,MARK=E0h
1250181,SRDCE
1251681,,,MARK=E0h
1252881,KURA
1254381,,,MARK=E0h
1255481,SLAMA
1256981,,,MARK=E0h
1257946,FLAUTA
1259446,,,MARK=E0h
1260545,MAPA
1262046,,,MARK=E0h
1263145,VRANA
1264646,,,MARK=E0h
1265613,VESLO
1267112,,,MARK=E0h
1268212,ŠÉF
1269712,,,MARK=E0h
1270666,VLAK
1272166,,,MARK=E0h
1273122,FARMA
1274621,,,MARK=E0h
1275716,5+8+3 = 
1280593,5+8+3 = 1
1280987,5+8+3 = 16
1281408,9+3+6 = 
1281425,3+9+7 = 
1285760,3+9+7 = 1
1285956,3+9+7 = 19
1286550,7+7+1 = 
1286565,5+1+5 = 
1288935,5+1+5 = 1
1289084,5+1+5 = 11
1289365,7+8+6 = 
1289384,2+5+8 = 
1292646,2+5+8 = 1
1292814,2+5+8 = 15
1293384,8+2+7 = 
1293402,6+6+3 = 
1295763,+
1295767,+
1325764,Press SPACE to start,14  of 15 trials completed
1328263,5
1329262,4
1330262,3
1331262,2
1332262,1
1333261,+
1334261,+
1335261,,,MARK=E1h
1336734,HMLA
1338197,,,MARK=E0h
